,Toppling Goliath Kentucky Brunch,Westvleteren 12 (XII),Toppling Goliath Mornin' Delight,Cigar City Hunahpu's Imperial Stout - Double Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged,Russian River Pliny the Younger,AleSmith Speedway Stout - Bourbon Barrel Aged,Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean,Bell's Black Note Stout,Founders CBS (Canadian Breakfast Stout),AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee,Rochefort Trappistes 10,AleSmith Speedway Stout,Hill Farmstead Ann,Cigar City Hunahpu's Imperial Stout,Bell's Expedition Stout,Founders KBS (Kentucky Breakfast Stout),Three Floyds Dark Lord Russian Imperial Stout,Russian River Pliny the Elder,Funky Buddha Morning Wood,Perennial Abraxas - Barrel Aged,Goose Island Bourbon County Stout,Cigar City Hunahpu's Imperial Stout - Bourbon Barrel Aged,Szałpiw Buba Extreme Jack Daniels BA,Alchemist Heady Topper,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),Goose Island Bourbon County Stout - Coffee,Three Floyds Dreadnaught Imperial IPA,Toppling Goliath Assassin,Hill Farmstead Aaron,Mikkeller Beer Geek Brunch Weasel,Prairie / Evil Twin Bible Belt - Barrel Aged,Bell's Bourbon Barrel-Aged Expedition Stout,Cycle Trademark Dispute (Yellow),Firestone Walker Parabola,Funky Buddha Last Buffalo in the Park,Evil Twin Double Barrel Jesus,Omnipollo / Siren / David Strachan Lorelei - Barrel Aged Extra Maple,Funky Buddha Wide Awake It's Morning,AleSmith Speedway Stout - Vietnamese Coffee,Surly Darkness,Cycle Trademark Dispute (Green),Westvleteren Extra 8,Deschutes The Abyss,Hill Farmstead Abner,Stone Imperial Russian Stout - Bourbon Barrel,Toppling Goliath King Sue,Hair of the Dog Matt,Bell's Hopslam,Närke Kaggen Stormaktsporter Börb'nåhallon
63,4.9,3.5,4.3,4.4,4.1,4.2,5,4.4,3.1,4.6,4.3,2.5,4.3,3.9,4.4,4,4,4,4.3,4.2,4.6,5,3.8,4.6,4.2,4.5,4.4,3.9,4.3,4.7,3.4,4.3,4.2,3.9,4,3.6,4.5,4.3,4.2,3.4,4.4,3.9,4.3,4.5,4.6,4.4,4.6,4.2,4.5,4.5
64,5,4.2,4.2,1.8,4.8,4.1,4.2,3.8,3.9,4.2,4.2,4,4.6,5,4.3,4.3,4.1,4.2,4,4.2,4.6,4.8,4.1,4.4,4.3,4.8,4,3.6,4.5,4.4,4,4.4,4.4,4.5,4.3,4.6,4.3,4.4,4.6,4.5,4,3.9,4.6,4.1,4.1,3.9,4.3,4.2,3,4.4
65,5,4.8,4.2,4.5,4.2,4.4,4.1,4.4,4,4.2,4.2,4.4,4.1,5,4.2,4,4.2,4.5,4,4.3,4.4,4.6,4.4,3.4,4.1,4.3,4.1,4.3,4.5,4.4,4.2,4.4,4.6,4.1,3.8,4.4,4.3,4.2,4.5,4.2,4.5,4.2,3.7,4.8,4.5,4.1,3.9,4.3,4.3,3.8
66,4.7,3.9,4.5,3.9,4.3,4.4,4.7,3.8,4.3,2.8,4.2,4.3,4.5,4.3,4.3,4.2,5,4.5,3.5,4.1,3.7,5,4.3,4.9,3.5,4.9,3.6,4.5,4.5,4,3.8,4.2,4.8,4.1,4.6,4.3,3.8,4.1,4.3,4.2,3.4,4.5,4.5,4.6,4.1,4.3,4.4,4,3.8,3.9
67,4.3,5,4.5,4.2,4,4.4,4.6,3.9,4.6,4.3,4.6,4,4.1,4.5,4.2,4.3,4.2,4.9,2.9,4.5,4.3,4.6,5,4.3,4.4,4.5,4,3.9,4.2,4.5,4.2,4.1,3.9,4.1,4.2,4.6,4.2,4.5,4.7,4.2,4.7,4.4,4.2,4,4,4.2,4.4,4,4.4,4
68,4.5,4.2,4.3,4.4,4,4.7,4.9,3.9,3.8,4.5,4.5,4.7,4.3,4.3,4.5,4.2,4.6,3.8,4,4.4,2.9,4.6,4.1,4.1,4.4,4.3,4.5,4.4,4.2,3.6,3.3,4.7,3.6,4.2,3.4,4.1,4.1,3.6,4.5,4.8,3.9,3.7,4.4,3.8,4.4,4,3.8,3.9,3.2,4.5
69,4.5,3.8,3.5,4.1,4,4.7,4.5,4.1,4.2,4.2,3.6,4.2,4.4,3.8,4.7,3.8,4.2,4.2,3.5,4.6,4.4,4.1,4.2,5,4.8,4.5,4.2,3.9,4,3.4,4.2,4.3,4.4,4.4,4.4,3.8,4.2,4.1,4,4.8,4.2,4.4,3.8,2.5,4.3,4.7,4.6,3.3,3.7,4.3
70,4.5,4.2,4.7,2.3,4.5,4.1,4.3,4.4,4.3,4.7,4.4,2.5,4.2,4.3,4.4,3.8,4.3,3.9,4.1,4.5,4.2,4.1,4.1,4.5,4.4,4.6,4,4.3,4.6,4,3.9,4.4,4.3,4.3,4.1,3.9,4.3,4.5,4.1,3.9,4.1,4.2,4.1,4.4,4.3,4,4.3,4.3,4,4
71,4,4,4.5,4.6,5,4,3.9,4.1,4.2,4.5,4.3,4.7,3.7,4,4.5,4.2,4.9,4.2,3.6,4.4,3.7,4.1,4,4.7,4.2,4.4,4.7,3.3,4.5,4,4.5,4.4,4.1,4,4.1,3.7,4.2,4.4,4,4.6,4.8,3.8,3.9,4.3,4,4.4,4.4,4.3,4.2,4.2
72,4.5,4.8,4.6,5,3.7,5,4.4,3.4,4.6,3.9,5,4.1,4.3,4.3,4,4,4.7,4.5,4.4,4.6,4.7,4.5,4.2,4.2,4.3,3.8,4.4,4.1,4.8,3.9,3.9,4.2,4.1,4.1,4.3,3.9,4.3,4.5,4.2,4.6,4.3,4,4,4.4,4.6,4.1,4.4,4.1,4.3,4
73,4.4,5,4.8,5,4.4,4.5,4.5,4.2,4.6,4.4,4.2,5,3.4,4.3,4.2,4.4,4.1,3.7,4.3,4.3,4.6,4.5,4.1,4.8,4,4.1,4.6,3.6,4.2,4.1,4.1,4.7,4.1,4.1,4.4,4.1,4.3,4,4.2,4.3,4.5,4.4,4.1,3.3,4.1,4.3,4.3,4.3,4.4,4.4
74,5,5,4.6,4.5,4,4.9,3.8,4.4,4.3,4.7,4.1,4.3,4.7,4.4,4.3,3.9,4.2,3.5,4.2,4.5,4.6,3.7,4.2,,4,4.1,4.6,3.7,4.2,4.6,4.3,4.7,4.8,4.1,4.4,3.7,4.2,4.4,4.5,4.2,4,3.9,4,4.5,4,4.2,4.3,4.4,4.2,4.3
75,4.6,4.6,5,4.7,3.8,4.5,3.8,4.9,4.6,4.5,4.6,4.2,5,4,4.3,4.3,4,4.4,4.2,4.4,4.3,3.9,4.2,,3.9,4.7,4.3,4,4.6,4.4,4.2,4.3,4.6,3.7,4.3,3.9,4.1,4.3,4.4,4.2,3.9,4.5,4.5,4.2,4.5,4.3,4.4,4.2,4.5,4.5
76,4.3,5,5,4.4,4.5,4.3,3.9,4.1,4.6,4.7,4.2,4.6,4.1,4.3,3.9,4.3,4.5,4.5,4.4,3.6,4.4,3.6,4.3,,4.1,4.3,5,3.9,4.3,4.3,4.4,4.1,4.4,4,4.3,4,4,4.5,4.2,4.5,3.8,4.1,4.3,4,4.3,4.1,4.1,3.1,4.5,4
77,5,4.1,4.8,5,5,4.2,4.6,4.1,4,4.2,4.3,4,4,4.1,4.6,4.2,4.2,4.7,4.8,4.2,4.6,3.7,4.2,,4.5,4.7,4.1,4.8,4.1,4.2,4.5,4.1,4.3,4.6,4,4,4.8,4.6,4.2,4.3,4.4,4.3,4.6,3.8,3.8,4.3,4,3.5,4.8,3.8
78,5,4.2,4.1,4.2,4.1,3.9,4.5,4.6,4.6,4.4,4.5,4.6,4.3,4.4,4.2,3.9,4.4,4,4.9,4.2,4.4,4.4,4.5,,4.2,4.6,3.8,3.9,4.3,4,4.5,4,4.2,4,4.8,4.5,4.8,4.3,4.3,4,4,3.9,4.2,4,4.4,4.4,4.6,4,3.9,4
79,4.2,5,4.4,3.7,4,4.9,4.5,4.4,4.2,4.8,4.5,4.5,4.3,4.4,3.8,4.1,3.9,3.9,4.4,2.6,4.5,5,4.5,,4,4.1,5,4.3,4.1,4.1,3.9,4.3,4.5,4.6,4,4.5,4.4,5,4.8,4.5,4,4.4,4.5,4.3,3.9,4.1,4.3,4.5,3.8,4.3
80,4.5,4.3,4.5,4.5,4.1,4.7,4.7,4.3,4.5,4.1,4,4.1,3.5,4.5,4.3,4.2,5,3.7,4.3,4.4,4.5,4.1,4.3,,3.2,4.9,4.5,4.2,4,3.8,4.2,3.6,4.4,4.7,4.5,4.6,3.5,4.6,4.5,4.3,4.1,4.3,3.9,4.3,4.5,4.1,4,4.2,4.2,4.6
81,4.3,5,4.2,4.9,4.2,4.2,4.7,4.2,4.6,4.2,4.3,4.3,4.8,4,3.9,4.7,4.7,3.7,4.1,4.9,4.3,4.1,4.5,,4.5,4.4,4.5,4.6,4.5,4.5,4.4,4.1,4.2,4.1,4.5,4.7,4.4,2.5,4,3.6,4.5,3.4,3.9,4.9,4.4,4.6,4,3.6,4.3,4.6
82,4.5,4.2,4.5,4.4,4.2,4.6,4.5,3.6,4.1,4.1,4.6,4.2,4.4,3.9,3.9,5,4.2,3.8,3.9,4.4,4.4,4.1,4.3,,4.6,4.4,4.2,5,4.5,3.7,4.3,4.6,4.2,3.1,3.9,4.8,4.4,4.2,4.1,4.4,4.2,4.4,2.9,4.4,3.9,3.7,4.2,4.3,4.1,4.4
83,4.7,4.3,4,4.6,4.2,5,4.4,4,4.4,4.3,4.5,5,4.1,4.3,4.3,4.5,4.5,3.7,4.3,3.9,4.3,4.6,4.5,,4.6,4.4,4.3,4.1,4.5,4,4.2,4.5,3.8,4.5,4,4.4,4.8,4.3,3.8,4,4.1,3.7,4.2,4.5,3.9,4.7,4.5,4.1,3.7,3.8
84,4.4,4.5,4.3,4.4,4.3,5,4.7,4.4,4.7,4.6,4.7,3.8,4.5,4.1,4.2,4.4,5,4.5,4,4.4,4.4,4,4.4,,3.7,4.6,4.4,3.8,4.5,4.5,4.2,4.1,3.9,4.7,4,4.3,4,4.9,4.5,4,3.7,4.2,4.3,4.6,4,4.7,4.4,4.6,4.2,4.2
85,4.5,3.5,4.1,4.2,4.2,4.6,4.3,3.7,4.3,5,4.7,4.2,4.1,3.7,4.4,4.3,5,4.8,4.1,4.3,4.5,4.3,4.2,,3.9,4.5,4.1,3.9,4.1,4.3,4.2,4,4.4,4.5,4,4.7,4.3,4.1,3.9,3.7,3.9,4.1,3,3.9,4.1,4.2,4.3,4.3,3.4,4.1
86,4.4,5,4.2,4.3,4.1,5,4.1,3.6,4.3,4.3,4.4,4.5,4.2,3.8,4.3,4.6,4,3.9,4,4.4,4.8,5,3.2,,4.2,4.7,4.3,4.3,4.1,4,4.3,4.5,3.5,4.5,4.5,4.2,4.4,4.9,4,4,5,4.8,4.5,4.7,4.6,4.2,4.3,4.4,4,4.5
87,4.8,4.6,3.9,4.3,4.2,4.7,4.5,3.9,4.3,4.3,3.8,4.9,3.6,4.5,4.1,3.7,4.3,4.4,4.7,4.4,4.2,4.4,4.3,,4,4.8,4.2,4.1,4.5,4.9,3.9,5,4.5,4.5,4,3.9,4.1,3.7,3.7,4.6,3.9,4.9,3.6,4.2,4,4.9,4.2,4.2,4.9,4.5
88,4.6,4.3,4.3,3.7,4.5,4.7,3.5,5,4,4.3,4.1,4,4,4.3,4.5,4.1,4.6,4.4,4.2,4.2,4.2,4.3,4.5,,3.8,4.8,4,4.1,4.5,4.2,4.3,4.1,4.3,4.2,4.1,4.3,4,4.5,4.2,4,4.3,4.3,5,4,4.7,4.4,4.1,3.9,3.9,4.1
89,4.8,4.2,4.2,4,4.5,4.6,4.6,3.7,3.7,3.7,4.6,4.3,4,4.3,4,4.5,4.2,3.9,4.3,4.7,4.4,4.4,3.6,,4.1,4.2,4.7,4.1,3.3,4,4.4,4.1,4.2,4.1,4.3,4.4,4.5,4.2,4,3.7,4,4.2,4.4,3.8,4.2,4.7,4.3,4.5,4.3,5
90,4.1,4.1,4.4,4.4,4.3,4.1,3.9,4.8,4.5,4.3,4.2,3.7,3.5,4.2,4,4.5,4,4.3,4,4.2,4.3,4.5,4.3,,4.4,4.1,4,4.3,3.9,4.3,4.2,4.2,4,3.9,4.8,4.3,4.2,4.1,4.2,4.5,4.3,4.4,3.8,3.9,4.1,4.1,3.9,4.4,4.2,4.5
91,4.4,4.8,4.3,4.7,4,4.8,4,4.2,4.1,5,4.6,4.8,4.3,4.2,4.5,3.3,4.3,2.8,4.6,4.3,4.2,4.7,3.2,,4,4.4,4.7,3.8,3.9,4.1,4.4,4.5,4.6,3.2,4.6,3.7,4.2,4.5,4.5,4.2,4.3,4.4,4.5,4.7,5,4.1,4.3,4.1,4.4,4.3
92,4.3,4.2,4.6,4.7,3.5,4.5,4,4.6,4.5,4.2,4.7,4,4.5,4,4.1,4.5,4.5,4.8,4.6,3.7,4.1,4.6,4.7,,4,4.4,4.1,3.9,4.2,4.6,4.4,4.1,4.4,4.1,4.6,4.9,3.9,4.1,3.9,4.3,4.6,4.2,4.1,4.2,4.4,4.5,4.2,3.9,4.6,4.2
93,4.8,4.6,4.1,4.8,4.3,4.3,4.3,4.1,3.9,4.8,4.6,3.7,3.6,4.2,4.9,3.5,4.2,3.8,4.1,4,4.3,4.5,4.5,,4.5,4.3,4.2,4.2,4.2,4.4,3.5,3.9,4.4,4.3,4.7,4.2,4.5,4.1,4.6,3.9,4.3,3.9,4.6,5,3.8,4,4.1,4.2,4.3,3.8
94,4.4,4.2,4.1,5,4.3,4.1,4.3,4.2,4.3,4.8,4.5,4.1,4.3,4.2,4.1,4.3,4.6,4.2,4.1,4.3,4.4,4.3,4.4,,3.9,4.8,4.4,4.1,4.5,3.8,4.2,4,3.7,4.2,4.2,4.4,3.9,4.1,4.5,4.2,4.5,,3.9,4.4,3.9,4.1,4.3,4.2,5,4.6
95,4.1,4.3,3.4,4.1,4.6,4.9,4.8,4.7,4.1,4.2,4.9,3.6,4.2,4.1,4.5,4.1,4.6,4,4.4,4.5,4.3,4.7,4.4,,4.3,4.4,3.8,4.3,4.2,4.5,4.3,4.4,4.2,4.7,4.5,3.9,4.3,4,5,3.1,4.1,,3.6,4.2,4.1,4.1,4.1,3.6,3.8,4.5
96,4.2,5,4.8,4.1,4.2,4.5,4,4.7,4.9,5,4.7,4.3,4.4,4,4.3,2,4,3.7,5,4.5,4.1,4.5,4.6,,4.4,4.3,4.1,4,4.3,4.4,3.8,4.7,4.2,4.3,4.3,3.9,4.5,4.7,4.6,4.7,4,,3.9,4.2,4.3,4.2,4.5,0.5,3.4,4.1
97,4.7,4.7,4.3,4.3,4.9,4.5,4.9,4.3,3.9,5,4.6,5,4.2,3.8,4,4,4,3.9,3.9,4.4,4.1,3.8,3.7,,3.8,4.2,4.7,4,4.7,3.9,4.8,4.6,4.2,4.2,4.6,4.3,4.2,4.5,4.4,4.4,4.4,,4.5,4,4.1,4.3,4.3,4.1,4.2,4.1
98,4.3,4.3,4.2,4.7,4.1,4.7,5,4.5,4.1,5,4.5,4.1,3.9,4.6,4.3,4.7,4.5,4.9,4.6,4.6,4.2,4.3,4.7,,4.5,4.4,5,3.7,4.3,4.6,4,4.2,4.3,4.1,4.3,4.3,4.4,4.6,3.8,4.1,3.8,,4.1,4.6,4.5,4.2,4.5,3.9,4.8,4.1
99,4.7,3,4.5,4.6,4.6,4.1,5,4.7,4,4.4,4.3,3.6,4,4.4,4.3,4.1,4,4.4,4.2,4.1,4.5,5,4.2,,3.6,4.1,4.1,4.1,4.4,3.9,4.2,4.4,4.4,3.7,4.4,4.6,4.6,4.1,4.1,3.9,4.3,,4.4,4.5,4.5,3.9,4,4.1,3.1,4.4
100,4,4.8,4.8,4.5,4.6,4.3,4.8,4.5,3.6,4.5,4.2,4.2,4.8,4.5,3.9,4.1,5,4.4,4.3,4.3,4.5,4.4,4.1,,4.3,4.6,4.9,5,4,4.8,4.2,4.2,4,4,4.4,4.4,4.3,4.2,4.1,4.5,3.5,,4.6,4.8,4.2,4.5,4.4,2.6,4,4.3
101,4.4,4.6,4.2,4.8,3.9,4.1,4.2,4.3,4.2,4.6,4.1,5,4.2,4.2,4.4,4,4,3.5,4.6,4.1,3.2,4.5,4.4,,4.6,4.7,4,3.6,4,4.3,4.1,4,4.4,4.5,4.5,4.4,4.5,4,4.4,4.3,4.7,,3.9,3.9,4.1,4.1,4.8,4.4,4.1,3.8
102,4.4,4.7,4.2,4.9,4.5,4,4.4,4.6,4.9,4.2,3.5,3.9,4.9,4.4,4.6,4.3,4.3,3.4,4.1,4.5,4.1,4.2,3.9,,4.1,4.7,4.3,3.9,4.6,4.4,4.3,4.1,,3.7,3.9,4.2,4.2,4.2,4.3,4.2,4.2,,4.5,3.9,4,4.3,4.1,3.9,4.5,4.3
103,4.9,4.7,4.3,4.9,4.3,3.6,4.2,4.4,4.5,4.3,4.5,4.2,4.9,4.6,4.3,4.3,4.2,4.5,4.7,4.4,4.4,4.7,4,,5,4.3,4.2,4.3,5,4.6,4.5,4.1,,4.2,4.4,3.8,4.2,4.4,4.2,3.9,4.5,,3,4.2,4.4,4.2,3.7,4.3,4,4.1
104,4.5,3.8,4.7,4.2,4.6,3.8,4,4.9,4.3,4.8,4.5,4.7,3.9,4.4,4.5,4,4.7,4.2,4,4.3,4.5,4.3,4,,4.6,4.3,4,4.5,4.1,4,4.1,4.3,,4.8,4.4,4.3,4,4,4.4,4.3,4.1,,3.8,3.4,4,4.3,4.4,4,4.7,4.2
105,5,5,4.5,4.5,4.8,4.4,4.1,4.4,4.2,4.2,4.6,4.9,4.5,4.3,4.6,3.9,5,4.3,3.9,4.1,4.3,3.6,4.6,,4.6,4.4,4.2,4.3,4.4,4.3,4.3,4.9,,4.3,4.2,4.3,4,4.6,4.7,4.2,4,,4.7,3.7,4.2,4.3,3.6,4.5,3.4,4.2
106,4.5,4.6,4.4,3.7,3.8,4.2,4.4,4.7,4.2,4.3,4.2,5,4.7,4.3,4,4.3,5,4.5,4.1,4.4,4.2,4.2,4.8,,4.3,5,4.1,4.1,4.7,3.9,4.2,4.5,,4.2,4.2,4,3.9,4.2,4.2,4.3,4.1,,4,3.9,4.5,4,4.1,4.6,4.3,4.2
107,3.8,4.8,4.6,4.6,4.6,4.3,4.4,4.3,3.5,4.1,4.3,4.3,5,3.8,3.9,4.3,4,4,4,4.4,4.2,4.6,3.6,,4.4,3.9,4.1,5,4.6,4.3,4.5,4,,5,3.8,4.3,4.2,4.7,3.7,4.5,4.1,,3.8,4.4,4.1,4.1,4,4.6,4.8,3.7
108,4.1,4.8,1.7,4.3,3.8,4.3,4.2,4.1,5,3.8,4.5,4,4.5,4,3.9,4.1,4.2,4,4.9,4.6,4.6,4.7,4.4,,4.4,4.5,4.4,4.4,4,4.2,4,4.5,,4,4.4,4.4,4.3,3.9,3.9,4.8,4.1,,3.8,3.8,4.3,4.6,3.9,4.8,4.4,4
109,3.7,4.7,4.6,4.5,4.6,4.3,4.3,4.6,3.9,4,4.4,4.2,4.6,4.4,4.3,4.3,5,4.1,4.8,4.8,4.7,4.8,4,,4.3,4.4,4.1,3.4,3.2,4.8,5,4.7,,5,4.4,4.7,4.6,3.9,4.4,4.4,4.2,,4.2,4.4,4.5,4.4,4.6,4.5,4.3,4.5
110,4.8,4.2,4.9,3.8,3.9,4.5,4.1,4.7,4.1,3.8,4.4,3.9,3.8,3.9,3.8,3.9,4.4,3.9,4,4.7,4.6,4.1,3.3,,4.8,4.3,2.4,5,4.7,4.6,4.4,4.8,,5,4.6,4.1,4.2,3.5,3.9,4.3,4,,4.5,4.4,3.4,3.8,4.4,4.4,4.1,3.9
111,4.7,4.8,4.3,4.2,4.3,5,4.6,4.8,4.5,3.9,4.3,3.8,4.4,4,4.4,4.1,4.3,3.8,5,4.4,3.8,4.3,4.1,,4.6,4.7,4.3,4.8,4.1,4,4.2,4.1,,4.9,4.6,4.1,4,3.7,4,3.8,4.8,,3.9,4.1,4,4,3.9,4.5,3.8,4.3
112,4.8,4.1,4.8,4.6,4.7,4,5,4.5,4.1,4.8,4.9,4.4,4.7,4,4,4.2,3.6,4,4.3,4.4,4.5,5,4.8,,5,4.5,4.2,4.3,4.2,4.2,4.6,4.2,,4.9,4,4.1,4.5,3.8,4.4,3.9,4,,3.7,4.1,4.2,4,4.2,3.9,3.5,4.1
113,4.7,4,4.9,4.6,4.1,4.5,4.3,4.1,4.1,4.1,4.7,4.2,4.2,4.3,4.5,4.4,4.8,3.9,4.7,4,4.2,4.7,4.2,,4.3,4.6,4.2,4.3,4.9,3.7,4,4.2,,4.9,5,4.2,4.2,4.5,3,5,4.3,,3.6,4.4,4.2,4.6,4.5,4,4.6,4.4
114,4.7,4.5,4.7,4.6,4.2,4.8,4.2,4.3,3.7,4.2,4.2,3,4.2,4.6,4.3,3.8,3.8,4.3,3.9,4.6,3.8,4.7,4.4,,4,4.2,4,4.3,4.8,4,4,4.1,,5,4.6,4.2,4,4.5,3.8,4.5,4.5,,4.2,3.4,4.5,4.1,4.1,4.2,4,3.6
115,4.6,4.7,4.7,4.8,4.2,4.5,4.4,4.4,4.6,4.2,3.3,5,5,4,4.7,3.2,4.1,3.6,4.6,4.7,4.3,4.2,4,,4.1,4.4,4.2,5,4.7,4.5,4,4.2,,4.9,4.5,4.5,4.1,4.4,4,4.1,4.1,,4.2,4,4.2,4.8,4.4,2.6,3.7,4.5
116,3.7,5,4,4.6,4.6,4.5,4.2,4,4.4,4.6,5,5,4.1,4,4.3,3.4,3.7,4.5,3.8,4.7,4.7,4.9,4.4,,3.8,4.3,4.6,4.4,4.5,4.3,4.6,4.4,,4.9,4.4,4.3,5,4.4,4.3,4.4,4.1,,4.2,4,4.1,4.7,4.2,4,4,3.9
117,3.7,4.5,5,4.3,4,4.4,4.3,4.3,4.3,4.4,4.4,4,4,4.1,4.8,4,4,4.1,4,3.9,4.5,4.7,3.8,,4.3,3.7,4.1,4.2,4.1,4.7,4.2,4.4,,4.9,4,3.9,4.3,4.6,4.2,4.6,4.3,,4,4.3,4.2,4.2,4,4.3,3.6,4
118,4.4,4.8,4.2,4.2,4.4,4.7,3.5,4.7,4.2,4.3,4.4,4,4.7,4,3.8,4.3,4.6,3.7,4.2,3.7,4.7,3.8,3.4,,4.3,4.4,4.4,3.5,4.4,4.6,4.3,3.1,,4.8,4.4,4.1,4.4,4.4,3.8,3.9,4.2,,3.9,4.3,4.5,4.5,3.7,3.8,3.9,4.3
119,4.8,4.8,5,1.1,1.8,3.9,4.6,4.3,4.5,4.2,4.2,4.3,4.4,4.8,4,3.8,4.4,4.9,3.8,3.7,4.8,4.5,3.9,,3.8,4.6,4.2,4.6,4.4,4,4.3,4.2,,4.8,2.9,4.1,4.3,5,4.4,4.5,4.2,,3.6,4.6,3.7,4.5,4.1,3.8,3.8,4.6
120,4.4,5,4.1,5,4.2,3.9,4.7,4.2,4.7,4.4,4.1,3.9,4.7,4.9,3.9,4.2,4,3.7,3.7,4,4.3,4.5,4.4,,3.8,4.5,3.7,3.9,4.8,4.2,4.3,4.2,,4.8,4.2,4.5,4.3,2.9,4.2,4.6,4,,4,3.7,3.9,4.4,3.9,4,4,3.9
121,4.1,4.9,5,4.4,3.7,4,4,4.5,3.9,4.3,4.2,5,4.4,4.8,4.9,4.3,4.6,3.3,4.1,3.8,4.4,4.2,3.8,,5,4.3,4.4,4,4.3,4.2,4.1,4.3,,4.7,4.1,4.3,4.3,4.4,3.9,4.3,4,,2.1,4.6,5,4.3,4.5,4,4.8,4.2
122,4.9,4.7,5,4.6,4.1,4.9,4.3,4.7,4.2,4.4,4.6,4.2,4.1,4.8,4.4,4.1,3.5,4,4.2,4.3,4,4.2,4.6,,3.9,4,4.7,4.2,4.4,4,4.2,4.5,,5,4.6,3.8,4.2,4.5,4.2,4.4,4,,3.7,4.3,4.3,4.3,3,4.2,3.9,4.4
123,4.7,4.3,4.5,4.8,3.5,4.5,4.4,4.1,4.5,4.5,4.2,3.9,4.3,4.6,4.3,4.2,4.2,4.1,4.2,3.8,2.9,4.1,4.6,,4.6,4.1,4.6,4.4,3.8,4.5,4.4,4.7,,5,4.3,4.1,4.2,4.4,4.2,4.3,4.1,,3.3,4.6,4.2,4.4,4.1,3.9,3.7,3.9
124,4.8,4.6,4.1,4.5,5,4.9,4.2,4.7,4.8,4.5,4.5,4.7,4.2,5,3.5,4.1,4.2,4.8,3.7,4.1,4.8,5,4.2,,4.6,5,3.1,4.3,4.2,3.8,4.7,4.2,,4.3,4.2,4,4.4,4.6,4.3,4,3.9,,4.1,4.5,4,4.3,4.4,4.1,4.3,4.3
125,4,4.6,4.7,4.4,4.2,3.9,4.1,4.3,4.7,4,4,3.8,4.5,5,3.9,4.5,3.7,4.7,3.7,4.5,2,4.3,4.1,,4.1,4.4,4.4,4.3,4,3.9,4.5,4.4,,4.1,4.2,4.4,3.8,4.4,4.4,4.3,3.8,,3.9,4.3,4,4.4,4.5,4,4,4.5
126,4.6,5,4.5,4.8,4.2,4.3,4.4,4.6,4,4.2,3.9,2.8,3.9,4.8,4.7,3.6,5,4.2,4,4.1,4.2,4.2,4.2,,4.3,4.1,4.3,4.4,4.3,4.5,4.2,4.6,,4.9,4,4.3,3.9,,4.2,4,4.4,,4.4,4.7,4,3.9,4.5,2.7,4.4,4.5
127,4.5,4.7,3.4,4.7,4.6,4.4,4.2,4.7,3.9,4.4,4.3,4,3.2,4.8,4.5,4.1,5,4.4,4.4,4,4.4,4.7,4.7,,4.3,4.2,4.4,3.6,4.3,4.4,4,4.1,,4.1,4.4,4.3,4,,4.5,4.5,4.3,,4.1,4.1,4.6,4.2,3.5,4.3,4.3,4.2
128,4.8,5,3.4,4.2,4.6,3.8,4.3,4.8,4.3,4.5,4.2,4.4,4.6,4.4,4,4.5,4.4,4.4,4.4,4.8,4.4,4.6,4.7,,4.2,3.9,5,4.3,3.9,4.3,4.1,3.9,,4.2,4.1,4.6,3.9,,4.1,4.3,4.3,,4.2,4.4,4.2,4.6,4.3,4.3,4.4,3.7
129,4.3,5,4.5,4.6,4.7,4.3,4.3,4.6,4.5,3.9,2.8,4.5,3.6,4.4,4.8,4,5,3.9,5,3.5,4,4.3,4.6,,4.4,4,4,4,4.3,4.4,4,4.8,,4.4,4.4,4.6,3.8,,4.1,4.4,4.7,,3.7,4.2,4.3,4.4,4.7,4.1,4.5,4
130,4.5,4.2,4.2,4.4,4.5,5,4.1,4.3,4.4,4.3,4.5,3.6,3.9,4.5,4.4,4.6,4.2,3.8,4.5,4.1,4.9,4.4,4.3,,4.7,4.4,4.5,3.8,4.4,,4.2,4.3,,,4.4,4.2,4.4,,4,4.1,4.2,,4.2,4.1,4.8,4.3,3.1,4.5,4.4,4.1
131,4.8,4.1,4.4,4.4,5,4.7,4.5,3.8,5,4.3,4.2,4.4,4.3,4.7,4.4,4.4,4.8,3.8,3.7,4.2,4.3,4.7,4.5,,4.1,4.6,5,3.8,3.7,,4.1,4.3,,,4,4,4,,4,4,4.2,,4,4.3,4.3,4.3,4.4,3.8,4.4,4.2
132,4.5,3.7,4.8,4,5,4.1,4.9,2.4,4.1,4.6,4,4.5,4,4.7,4.1,4,4.1,4.5,4.4,4.7,4.3,4.7,4.4,,4.1,4.5,4.4,4.6,3.9,,4,4.2,,,4.6,4.2,4,,4,3.8,4.3,,4.3,4.2,4.3,4,5,3.3,4,4.6
133,4.8,5,4.2,4.5,4.3,4.6,5,4.4,4,4.3,4.2,4.5,4.7,4.3,4,4.4,4.2,3.6,4.5,4.4,3.7,4.8,4.4,,4,4.4,4.6,3,4.6,,3.1,4.3,,,4.6,4.1,3.7,,4.3,4,4.3,,4.7,3.2,3.7,4.4,5,4.4,3.9,4.5
